"Name","Credit Card","Email","Website","Phone","Address","Company","SSN","Passport Number","Job Role"
"Hannah Miles","4539 5272 2222 1876","mailto:hmiles1@email.com","hrproteam.com","555-694-2345","11 Maple St, Denver, CO","HR Pro Team Inc","512-92-3664","XB9823345","HR Manager"
"Marcus Taylor","6011 1555 1102 2601","mailto:marcust@recruity.net","recruity.net","555-678-1199","48 Adams Ave, Phoenix, AZ","Recruity Ltd","215-77-9432","MA6732103","Recruiter"
"Greta Liu","5105 1051 4106 0804","mailto:greta.liu@talenthq.io","talenthq.io","555-321-1890","77 Hill Rd, Seattle, WA","Talent HQ","349-05-2788","BR1098452","HR Coordinator"
"Mark Evans","4111 6543 1109 0982","mailto:mevans@hrrush.com","hrrush.com","555-800-1236","87 College Dr, Dallas, TX","HR Rush","653-87-1033","FA4427921","Talent Acquisition Lead"
"Sara Paredes","3714 496800 50033","mailto:sara.p@polarisop.com","polarisop.com","555-222-4448","93 Oak Cir, Miami, FL","Polaris Staffing","978-77-5428","CV2201340","Staffing Specialist"
"Jake Lambert","6011 3440 5193 1224","mailto:lambert.j@humancore.com","humancore.com","555-893-2212","1160 Pine Ave, Boston, MA","HumanCore","430-22-5776","BN8937001","HR Assistant"
"Suman Desai","3763 456789 15432","mailto:sdesai@recruitwise.com","recruitwise.com","555-443-2133","488 Springs Rd, Houston, TX","RecruitWise","334-64-6597","IW6509204","Recruitment Coordinator"
"Amy Chau","4539 9823 2222 5644","mailto:amy.chau@nexthr.org","nexthr.org","555-999-4567","95 Center Ct, LA, CA","Next HR","621-80-5650","TA0934823","HR Generalist"
"Pierce Vaughn","6011 9831 8574 1196","mailto:vaughnp@staffgen.com","staffgen.com","555-775-0021","10 Sycamore Ln, Chicago, IL","StaffGen","591-17-3648","CV3204188","Recruiting Manager"
"Rosa Fernandez","3792 563411 04122","mailto:rosalinaf@hireworks.com","hireworks.com","555-192-1300","55 Orchard Ave, Raleigh, NC","HireWorks","214-13-6382","KE2204091","HR Recruiter"
"Ivan Ortiz","5105 1929 9092 4420","mailto:ivano.hr@jobherald.com","jobherald.com","555-384-7891","9 Laurel Blvd, Toledo, OH","Job Herald","350-36-9912","AG0931481","Recruiting Coordinator"
"Dawn Ellis","6011 8484 3761 1113","mailto:dawn.ellis@workroot.net","workroot.net","555-016-0775","2259 Horizon St, Tampa, FL","WorkRoot","758-84-6140","SM2091196","HR Business Partner"
"Naoki Sato","3556 932863 09252","mailto:sato.n@onboardcareers.org","onboardcareers.org","555-402-5787","1458 Parkway Pl, NYC, NY","Onboard Careers","214-44-0899","TY2213875","Recruiter"
